Disease,class,x1,x2
stomach ache,abdomen,10.4015032903,18.3470120115
I am having stomach pains with diahorrea and this has been happening for a few months,abdomen,7.6933597999,15.9792956218
stomach pain,abdomen,10.7681758865,18.0590370725
"Addominal pain, bowels movement",abdomen,-0.891164013953,10.2861513733
Case 14 chest pain,chest,9.23432223928,3.67278327831
chest pain,chest,9.95863274915,3.81581603261
I've been having chest pains,chest,9.69412996506,4.56702589891
I have a severe chest pain,chest,9.72688206427,3.77273448568
Chest pain,chest,9.97464679203,3.79693073371
"Chest pain, 8/10 severity",chest,9.39903625992,4.14551520593
Back pain ,back,14.6698067887,-9.84694659412
back pain,back,14.669812901,-9.84694614564
I have some back pain which started about an hour ago and I would like advice,back,14.5195329695,-10.6043230796
I have a back pain that has been on for 45 mins ,back,14.5666561714,-10.3703430529
back pain,back,14.66450147,-9.8320745072
Sudden back pain,back,14.6974949293,-9.67896520912
Viral infection ,non-anatomical,5.47762531278,-7.09958498746
dry cough viral,chest,10.0925340683,10.5724778245
"I have a cough and my nose is constantly running. I want to feel better, it's irritating ",chest,5.6755728738,11.0874569065
Dry cough lasting for days,chest,10.0989880221,10.2637965845
"Coughing,  runny nose and had a fever",chest,6.45866385596,10.8856986942
Headache ,head,-24.9071126727,-1.2108772554
moderate headache,head,-24.3495285539,-1.36478546637
I have a headache which feels like a tight band around my head. It started about half an hour ago,head,-21.0693145092,-0.00240884466293
I've got a headache ,head,-23.9203630896,-1.01728224995
headache,head,-24.9154170772,-1.21094659114
Sudden moderate headache,head,-24.1225892218,-1.43570780894
Palpitations ,chest,13.579110131,8.87915086155
fast heart beats,chest,12.1563878852,6.47716807588
"I have an odd racing feeling in my chest, I don't know how to calm it",chest,7.91710731237,4.57884717206
I've got palpitations ,chest,13.6432502228,8.80849246825
Heart palpitations,chest,11.8077651843,6.19060391815
Palpitations and very stressed,chest,12.7907943009,8.66000888536
pain when eat,abdomen,-2.23559279493,11.4214311702
"I have a burning sensation in my mouth, I noticed two white sores a few days ago, is this a mouth ulcer?",mouth_face,4.94066054929,-19.3535532901
I think I have mouth ulcers,mouth_face,3.99724132985,-18.9131607392
White sores in mouth.,mouth_face,5.05946868906,-20.8824294783
"Painful mouth, when eating, drinking and swalling",mouth_face,3.18425478125,-16.0777713289
Weight loss,non-anatomical,-3.8078971444,-3.69328077365
I've been losing a lot of weight recently and I am worried,non-anatomical,-2.98627480656,-3.83364270757
I am unintentionally loosing weight ,non-anatomical,-4.0654343549,-3.85247540604
Loss of weight.,non-anatomical,-4.10445300739,-3.76999718726
Weight loss for last 6 months unintentionally,non-anatomical,-2.75143845213,-3.07936042741
Vagina bleeding ,sexual_health,-3.3698132125,18.6114872118
vaginal pain,sexual_health,-2.56447807824,18.5178286416
"I have some period pains, cramping, discomfort",sexual_health,-8.16066620916,4.76178106016
I have got a bad period pain and I don't know what to do ,sexual_health,-8.47167777359,4.95741883442
Numb fingers ,hand,20.6731984684,3.96256889493
numb finger,hand,20.7182620455,3.85795596254
"I am having pain in my left hand which is worse at night, my thumb and first two fingers in particular ",hand,18.4763183152,3.1130657075
I am having pains and numbness in my left hand ,hand,19.1182253411,3.17974238698
I have numbness in my fingers.,hand,20.6587171435,3.98283745105
Fingers numbless very morning when I wake up,hand,19.872005261,5.69618385104
My eye is red and swolen,eye,-11.7521504679,10.7801100807
red eye,eye,-12.4274275206,12.2925256352
there is a yellow discharge from my eye,eye,-9.90654108414,13.2568831721
Red eye with yellow discharge,eye,-9.5172033526,12.8877279391
My eyes are red,eye,-12.1308900269,10.544747293
My eye is oozing liquid,eye,-11.7866009408,10.870975633
My arm is grazed,arm,-17.561534951,-8.49044133698
I have a cut,arm,3.35469321685,-3.06106337397
graze on arm,arm,-16.7228174065,-8.57682632455
I've grazed my arm,arm,-17.1033088184,-8.76926904241
Grazed arm from a fall,arm,-16.3966930345,-8.56889652611
I got a small cut,arm,3.55537789541,-2.31182484903
I've hurt my arm,arm,-17.3947379008,-9.11410833828
fever itchy nose sneezing,nose,-17.3452034546,10.106089563
I keep sneezing,nose,5.27151995664,6.59539578385
"Unexpectedly have a runny nose, cold and itchy eyes",nose,-16.4774315473,10.2302797035
I got a cold,non-anatomical,-0.526979676309,-3.02434223324
Pain in my stomach,abdomen,11.487356085,17.3169392376
Several questions re pain,abdomen,1.36307871137,-0.97502165824
I think I might need my appendix out,abdomen,1.6341184332,9.26348280268
"Severe stabbing pain in right abdomen with a small lump, i'm really worried it could be appendicitis",abdomen,8.93435288153,15.3245977104
I have a really bad pain in my belly,abdomen,11.6742790342,16.5999885159
My stomach is killing me!,abdomen,11.0546176655,18.2675022693
Discharge from my penis,sexual_health,-6.20414852482,19.997307331
Discharge from willy,sexual_health,-5.75379070047,19.0709422599
white discharge std,sexual_health,-6.07638289415,15.86684414
I have a discharge from my penis,sexual_health,-6.54522708798,19.9325963372
I have discharge coming from my penis,sexual_health,-6.55146964495,19.9465088491
I have a problem when I pee,sexual_health,0.505456918895,5.10559217886
My penis is fucked,sexual_health,-5.53820796135,20.4551113586
Ankle pain,foot,-7.94069610777,-16.5667635911
Bad ankle pain,foot,-7.96044016905,-16.5682238544
ankle sprain,foot,-7.86560296129,-16.6682819061
Really severe ankle pain after a fall whilst running,foot,-8.06267353473,-16.8495410643
My ankle hurts,foot,-7.72522630819,-16.4704738965
I sprained my ankle whilst running.,foot,-7.81218224683,-16.6909825636
Its painful when i wee,sexual_health,1.20719979316,4.11308166136
Difficult to per,sexual_health,2.75830471613,-2.56676588773
pee stinging,sexual_health,0.383167808069,6.25240216875
It hurts when I pee,sexual_health,0.480955495696,4.85625867926
"I am experiencing stinging when I use the toilet, and more frequent than usual. Its quite painful and making it difficult to go to work",sexual_health,-3.14568884796,7.03886582992
I pee very little,sexual_health,0.6736639827,6.09453720643
I have sharp pain when I wee.,sexual_health,0.886765555125,3.7326614521
Soft lump on my back,back,17.4488095309,-9.28053594012
Lump on back,back,17.4437746123,-9.22651532643
doughy lump on back,back,17.4654668815,-9.16363565279
I have a growth on my back,back,16.8192154735,-9.70395813943
"I have a small lump on my back that I discovered in the shower. Its quite small and doesn't hurt, but I'm worried",back,17.783042831,-10.2932242409
I have a soft lump on my back,back,17.4199112692,-9.32624070351
I have a soft lump on my back,back,17.4301776538,-9.32723136649
Im tired all the time,non-anatomical,-6.09068540921,-4.13701004012
Feeling tired,non-anatomical,-6.62265438271,-3.99014704702
low blood sugar tired headache,non-anatomical,-22.8197990027,-2.30935015432
I feel very lethargic,non-anatomical,-6.8437558455,-4.29696203937
Feeling really run down,non-anatomical,0.239293541988,-4.69745709467
I'm knackered all the time,non-anatomical,-6.26660563861,-4.78878988899
My lip has a sore on it,mouth_face,6.8264438002,-21.3826228216
Sores,mouth_face,10.8021958658,-0.964368854059
burning sores on lips,mouth_face,5.74116960517,-21.9087509593
I have a tingling lip,mouth_face,6.15481775749,-22.5491928013
Small sores on lower lip with slight tingling sensation,mouth_face,6.45808477145,-21.2030551595
My lower lip hurts,mouth_face,7.10327609151,-21.5149784595
My lower lip is really sore,mouth_face,7.0350822477,-21.5095699917
Sore throat trouble swallowing ,mouth_face,1.66502858643,-18.7050681166
difficulty swallowing,mouth_face,5.84335287347,-17.539848198
cold won't go away,chest,-0.493930197615,-3.16847326317
it feels like my throat has something stuck and while eating its quite painful while swallowing,mouth_face,2.81481902824,-16.3234877084
Headache,head,-24.9025370492,-1.21038625351
